 397584157,"00001M13:13:25.556","00001 13:46:42",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.74,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.28,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584158,"00001M13:13:26.530","00001 13:46:43",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.76,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.27,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584159,"00001M13:13:27.503","00001 13:46:44",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.75,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.27,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584160,"00001M13:13:28.476","00001 13:46:45",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.18,   0.01,   0.03,   0.77,   0.01,   0.17,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.32,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584161,"00001M13:13:29.449","00001 13:46:46",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.74,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.32,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584162,"00001M13:13:30.423","00001 13:46:47",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.76,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.24,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584163,"00001M13:13:31.396","00001 13:46:48",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.18,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.27,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584164,"00001M13:13:32.369","00001 13:46:49",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.74,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584165,"00001M13:13:33.342","00001 13:46:50",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.76,   0.01,   0.17,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.36,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584166,"00001M13:13:34.316","00001 13:46:51",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.75,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.38,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584167,"00001M13:13:35.289","00001 13:46:52",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.02,   0.77,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.25,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584168,"00001M13:13:36.262","00001 13:46:53",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.74,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.29,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584169,"00001M13:13:37.235","00001 13:46:54",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.29,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584170,"00001M13:13:38.209","00001 13:46:55",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.32,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584171,"00001M13:13:39.182","00001 13:46:56",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.77,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584172,"00001M13:13:40.155","00001 13:46:57",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.77,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.26,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584173,"00001M13:13:41.128","00001 13:46:58",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.18,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.27,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584174,"00001M13:13:42.102","00001 13:46:59",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.20,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584175,"00001M13:13:43.075","00001 13:47:00",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.75,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.40,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584176,"00001M13:13:44.048","00001 13:47:01",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.76,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.29,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584177,"00001M13:13:45.021","00001 13:47:02",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.75,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.31,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584178,"00001M13:13:45.995","00001 13:47:03",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.18,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.32,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584179,"00001M13:13:46.968","00001 13:47:04",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584180,"00001M13:13:47.941","00001 13:47:05",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.77,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584181,"00001M13:13:48.914","00001 13:47:06",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.75,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.29,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584182,"00001M13:13:49.888","00001 13:47:07",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.20,   0.01,   0.03,   0.76,   0.01,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
 397584183,"00001M13:13:50.861","00001 13:47:08",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"         UNK",   0.19,   0.01,   0.03,   0.75,   0.02,   0.18,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 274.33,"00111011",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK","  ",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,"     UNK"
